sample_id,group,mean_len,median_len,std_len,pct_short,pct_mid,p10,p25,p75,p90,n_fragments
87971,healthy,165.1,166.0,19.41,18.94,80.35,141.0,154.0,176.0,188.0,2000000
87972,healthy,164.53,166.0,19.62,20.38,78.91,140.0,153.0,176.0,187.0,2000000
87973,healthy,166.09,167.0,19.37,17.5,81.72,142.0,155.0,177.0,188.0,2000000
87974,healthy,169.46,169.0,20.34,14.49,84.2,144.0,158.0,181.0,194.0,2000000
87975,healthy,169.27,169.0,19.06,13.43,85.58,146.0,159.0,180.0,192.0,2000000
87976,healthy,168.67,169.0,20.75,15.89,82.68,143.0,157.0,180.0,193.0,2000000
87978,healthy,171.9,171.0,22.35,13.94,83.67,145.0,159.0,184.0,199.0,2000000
87979,healthy,168.89,168.0,19.93,14.68,83.97,144.0,158.0,180.0,193.0,2000000
87980,healthy,168.12,168.0,20.23,16.0,82.64,143.0,157.0,179.0,192.0,2000000
87981,healthy,166.03,167.0,19.83,18.28,80.8,141.0,155.0,177.0,189.0,2000000
87982,healthy,167.87,168.0,19.77,15.96,82.93,143.0,157.0,179.0,191.0,2000000
87983,healthy,166.13,167.0,19.7,17.97,81.07,142.0,155.0,177.0,189.0,2000000
87984,healthy,167.24,167.0,19.77,16.82,82.16,142.0,156.0,178.0,191.0,2000000
87985,healthy,166.15,167.0,19.33,17.68,81.43,142.0,155.0,177.0,189.0,2000000
87986,healthy,167.54,167.0,19.5,15.94,82.97,143.0,156.0,178.0,191.0,2000000
87988,healthy,167.86,168.0,20.49,16.61,82.15,142.0,156.0,179.0,192.0,2000000
87989,healthy,166.83,167.0,19.98,17.45,81.44,142.0,155.0,178.0,191.0,2000000
87990,healthy,167.3,167.0,19.71,16.35,82.61,143.0,156.0,178.0,191.0,2000000
87991,healthy,166.32,167.0,20.84,18.96,79.83,141.0,154.0,178.0,191.0,2000000
87992,healthy,167.74,168.0,20.33,16.61,82.12,143.0,156.0,179.0,192.0,2000000
87993,healthy,163.59,165.0,19.84,22.23,77.04,139.0,151.0,175.0,187.0,2000000
87994,healthy,166.37,167.0,20.22,18.28,80.7,141.0,155.0,177.0,190.0,2000000
87995,healthy,165.37,166.0,19.28,18.44,80.79,141.0,154.0,176.0,188.0,2000000
87996,healthy,169.15,169.0,22.8,17.52,80.37,141.0,156.0,182.0,197.0,2000000
87997,healthy,166.65,167.0,19.61,17.27,81.81,142.0,155.0,177.0,190.0,2000000
87998,healthy,166.25,167.0,19.62,17.75,81.35,142.0,155.0,177.0,189.0,2000000
88000,healthy,165.86,167.0,19.47,18.02,81.21,142.0,155.0,177.0,188.0,2000000
88001,healthy,167.63,168.0,21.16,17.42,81.18,142.0,156.0,179.0,192.0,2000000
88002,healthy,170.38,170.0,20.76,13.69,84.54,145.0,159.0,181.0,195.0,2000000
88005,healthy,168.7,168.0,19.88,14.81,83.81,144.0,158.0,179.0,193.0,2000000
88006,healthy,169.37,169.0,20.61,14.92,83.55,144.0,158.0,181.0,195.0,2000000
88007,healthy,167.24,167.0,18.31,14.9,84.29,144.0,157.0,177.0,189.0,2000000
88008,healthy,166.74,167.0,20.71,18.58,80.13,141.0,154.0,178.0,192.0,2000000
88009,healthy,166.06,166.0,21.18,19.88,78.8,140.0,153.0,178.0,191.0,2000000
88010,healthy,169.02,169.0,20.76,15.58,82.91,143.0,157.0,180.0,194.0,2000000
88011,healthy,166.37,167.0,19.87,18.04,81.01,142.0,155.0,177.0,190.0,2000000
88012,healthy,167.64,168.0,19.46,15.92,83.07,143.0,156.0,178.0,191.0,2000000
88013,healthy,167.08,167.0,19.07,16.21,82.86,143.0,156.0,177.0,190.0,2000000
88014,healthy,166.07,166.0,20.65,19.2,79.59,141.0,154.0,177.0,191.0,2000000
88015,healthy,165.35,166.0,20.86,20.36,78.5,140.0,153.0,177.0,190.0,2000000
88016,healthy,166.55,167.0,20.64,18.44,80.31,141.0,154.0,178.0,191.0,2000000
88017,healthy,168.69,169.0,21.22,16.52,81.98,142.0,157.0,180.0,194.0,2000000
88018,healthy,166.1,167.0,21.0,19.71,79.1,140.0,154.0,178.0,191.0,2000000
88019,healthy,165.6,166.0,20.66,20.13,78.7,140.0,153.0,177.0,190.0,2000000
88020,healthy,164.85,166.0,20.92,21.31,77.61,139.0,152.0,176.0,189.0,2000000
88021,healthy,167.06,167.0,20.35,17.82,81.06,142.0,155.0,178.0,191.0,2000000
88022,healthy,166.66,167.0,19.76,17.58,81.45,142.0,155.0,178.0,190.0,2000000
88023,healthy,169.71,169.0,21.71,15.56,82.43,143.0,157.0,181.0,196.0,2000000
88024,healthy,167.52,168.0,20.47,17.05,81.65,142.0,156.0,179.0,192.0,2000000
88025,healthy,166.72,167.0,20.71,18.21,80.56,141.0,155.0,178.0,191.0,2000000
88026,healthy,166.32,166.0,19.26,17.27,81.8,142.0,155.0,177.0,189.0,2000000
88027,healthy,165.77,166.0,19.45,18.17,80.96,142.0,154.0,176.0,189.0,2000000
88028,healthy,166.65,167.0,21.75,19.41,79.0,140.0,154.0,178.0,192.0,2000000
88029,healthy,167.62,168.0,21.27,17.79,80.7,142.0,155.0,179.0,193.0,2000000
88030,healthy,168.82,169.0,20.87,15.82,82.72,143.0,157.0,180.0,194.0,2000000
88031,healthy,165.43,166.0,18.34,17.5,81.9,142.0,155.0,176.0,187.0,2000000
88032,healthy,165.87,166.0,20.68,19.66,79.25,140.0,153.0,177.0,190.0,2000000
88033,healthy,169.32,169.0,20.77,15.12,83.29,144.0,158.0,181.0,195.0,2000000
88034,healthy,165.87,167.0,20.39,19.12,79.98,140.0,154.0,177.0,189.0,2000000
88035,healthy,168.04,168.0,20.54,16.55,82.12,143.0,156.0,179.0,193.0,2000000
88036,healthy,167.43,168.0,19.98,16.75,82.23,142.0,156.0,179.0,191.0,2000000
88037,healthy,166.59,167.0,20.61,18.42,80.5,141.0,155.0,178.0,191.0,2000000
88038,healthy,166.58,167.0,19.39,17.14,81.99,142.0,155.0,177.0,189.0,2000000
88039,healthy,166.23,167.0,18.72,16.8,82.56,142.0,156.0,177.0,188.0,2000000
88040,healthy,167.42,168.0,19.69,16.46,82.51,143.0,156.0,178.0,191.0,2000000
88041,healthy,169.23,169.0,20.73,15.24,83.22,144.0,157.0,180.0,194.0,2000000
88042,healthy,166.04,167.0,18.69,17.11,82.24,142.0,156.0,177.0,188.0,2000000
88043,healthy,168.11,168.0,19.78,15.82,82.99,144.0,157.0,179.0,192.0,2000000
88044,healthy,169.38,169.0,20.65,15.21,83.3,144.0,158.0,181.0,195.0,2000000
88045,healthy,166.97,167.0,18.88,15.95,83.21,143.0,157.0,177.0,189.0,2000000
88047,healthy,169.46,169.0,19.4,13.46,85.34,145.0,159.0,180.0,193.0,2000000
88048,healthy,164.38,165.0,19.33,20.13,79.15,140.0,153.0,175.0,187.0,2000000
88049,healthy,168.81,169.0,19.63,14.54,84.27,144.0,158.0,179.0,192.0,2000000
88050,healthy,166.62,167.0,21.2,19.05,79.6,140.0,154.0,178.0,191.0,2000000
88052,healthy,168.1,168.0,20.31,16.08,82.66,143.0,157.0,179.0,192.0,2000000
88053,healthy,166.3,167.0,18.7,16.64,82.59,143.0,156.0,176.0,188.0,2000000
88054,healthy,166.45,167.0,19.77,17.8,81.22,142.0,155.0,177.0,190.0,2000000
88055,healthy,167.61,168.0,21.01,17.63,80.95,142.0,155.0,179.0,192.0,2000000
88057,healthy,166.8,167.0,19.75,17.11,81.75,142.0,155.0,177.0,190.0,2000000
88058,healthy,167.4,167.0,19.14,15.87,83.13,143.0,156.0,178.0,190.0,2000000
88059,healthy,168.59,168.0,21.55,17.02,81.25,142.0,156.0,180.0,195.0,2000000
88060,healthy,168.74,168.0,19.64,14.72,84.03,145.0,157.0,179.0,192.0,2000000
88061,healthy,169.97,169.0,19.29,12.82,85.93,146.0,159.0,180.0,193.0,2000000
88062,healthy,168.89,168.0,20.45,15.25,83.2,144.0,157.0,180.0,194.0,2000000
88063,healthy,170.28,170.0,18.89,12.04,86.83,147.0,160.0,181.0,193.0,2000000
88064,healthy,170.48,170.0,19.54,12.45,86.16,147.0,159.0,181.0,195.0,2000000
88065,healthy,171.28,171.0,20.72,12.85,85.34,146.0,160.0,182.0,197.0,2000000
88066,healthy,168.45,169.0,19.88,15.25,83.57,144.0,158.0,179.0,192.0,2000000
88067,healthy,166.55,167.0,18.11,15.64,83.68,144.0,156.0,176.0,188.0,2000000
88068,healthy,166.96,167.0,19.21,16.51,82.58,143.0,156.0,177.0,190.0,2000000
88069,healthy,171.17,170.0,19.39,11.44,86.95,148.0,160.0,181.0,195.0,2000000
88070,healthy,172.89,171.0,19.84,9.62,88.21,150.0,162.0,183.0,197.0,2000000
88071,healthy,171.5,171.0,20.39,12.33,85.9,147.0,160.0,183.0,196.0,2000000
88072,healthy,167.01,167.0,19.45,16.76,82.3,143.0,156.0,178.0,190.0,2000000
88073,healthy,168.7,169.0,19.64,14.68,84.27,144.0,158.0,180.0,192.0,2000000
88074,healthy,166.64,167.0,18.54,16.04,83.33,143.0,157.0,177.0,188.0,2000000
88075,healthy,166.5,167.0,19.52,17.23,81.87,142.0,156.0,177.0,189.0,2000000
88077,healthy,165.91,167.0,18.97,17.59,81.66,142.0,155.0,176.0,188.0,2000000
88078,healthy,169.23,169.0,20.59,15.09,83.41,144.0,158.0,180.0,194.0,2000000
88079,healthy,167.24,167.0,20.25,17.17,81.58,142.0,156.0,178.0,191.0,2000000
88080,healthy,164.37,165.0,18.47,19.04,80.4,141.0,154.0,175.0,185.0,2000000
88081,healthy,164.99,166.0,19.43,19.15,80.21,141.0,154.0,176.0,188.0,2000000
88082,healthy,164.84,166.0,19.74,19.67,79.63,140.0,153.0,176.0,188.0,2000000
88083,healthy,168.38,168.0,19.02,14.29,84.75,145.0,158.0,179.0,191.0,2000000
88084,healthy,166.02,167.0,20.75,19.65,79.23,140.0,154.0,178.0,190.0,2000000
88085,healthy,166.76,167.0,19.72,17.33,81.62,142.0,155.0,177.0,190.0,2000000
88086,healthy,167.3,167.0,18.87,15.62,83.48,144.0,157.0,177.0,189.0,2000000
88088,healthy,167.86,168.0,18.76,14.86,84.37,144.0,158.0,178.0,190.0,2000000
88089,healthy,165.87,167.0,17.98,16.41,83.07,143.0,156.0,176.0,187.0,2000000
88090,healthy,170.0,170.0,20.3,13.88,84.71,145.0,159.0,181.0,194.0,2000000
88091,healthy,167.0,167.0,19.63,16.89,82.1,142.0,156.0,178.0,190.0,2000000
88092,healthy,166.8,167.0,18.26,15.54,83.85,144.0,157.0,177.0,188.0,2000000
88093,healthy,166.61,167.0,18.57,16.02,83.31,143.0,156.0,177.0,188.0,2000000
88094,healthy,167.16,168.0,19.89,16.94,82.07,142.0,156.0,178.0,191.0,2000000
88095,healthy,166.19,167.0,18.92,17.13,82.18,142.0,155.0,177.0,188.0,2000000
88096,healthy,169.09,169.0,20.72,15.31,83.17,143.0,158.0,180.0,194.0,2000000
88098,healthy,167.74,168.0,18.7,15.04,84.13,144.0,157.0,178.0,190.0,2000000
88099,healthy,166.41,167.0,19.5,17.48,81.51,142.0,155.0,177.0,190.0,2000000
88100,healthy,165.12,166.0,19.7,19.85,79.32,140.0,153.0,176.0,188.0,2000000
88101,healthy,166.42,167.0,20.99,19.28,79.5,140.0,154.0,178.0,191.0,2000000
88102,healthy,167.8,168.0,18.06,14.11,85.12,145.0,158.0,178.0,190.0,2000000
88103,healthy,167.25,167.0,19.0,15.75,83.36,143.0,157.0,178.0,190.0,2000000
88104,healthy,169.41,169.0,20.4,14.85,83.79,144.0,158.0,181.0,194.0,2000000
88105,healthy,169.11,169.0,19.38,14.12,84.72,145.0,158.0,180.0,192.0,2000000
88106,healthy,167.24,167.0,19.02,16.01,83.12,143.0,156.0,178.0,190.0,2000000
88107,healthy,167.03,167.0,18.7,15.68,83.45,144.0,156.0,177.0,189.0,2000000
88109,healthy,169.0,169.0,21.37,16.29,82.01,143.0,157.0,180.0,195.0,2000000
88110,healthy,167.67,168.0,19.4,15.9,83.13,143.0,157.0,178.0,191.0,2000000
88111,healthy,167.75,168.0,18.59,14.66,84.49,144.0,158.0,178.0,190.0,2000000
88112,healthy,167.93,168.0,20.35,16.38,82.19,143.0,156.0,179.0,192.0,2000000
88113,healthy,165.53,166.0,19.56,18.77,80.34,141.0,154.0,176.0,188.0,2000000
88114,healthy,168.59,168.0,19.7,14.85,83.9,144.0,158.0,179.0,192.0,2000000
88115,healthy,169.42,169.0,19.53,13.52,85.31,145.0,159.0,180.0,193.0,2000000
88116,healthy,168.69,169.0,20.77,16.28,82.25,143.0,157.0,180.0,194.0,2000000
88117,healthy,166.95,167.0,19.51,16.9,82.13,142.0,156.0,178.0,190.0,2000000
88119,healthy,166.04,167.0,20.29,19.11,79.9,141.0,154.0,177.0,190.0,2000000
88120,healthy,167.59,168.0,18.42,14.61,84.67,144.0,158.0,178.0,189.0,2000000
88121,healthy,170.9,170.0,20.12,12.68,85.78,146.0,160.0,182.0,195.0,2000000
88122,healthy,167.58,168.0,18.13,14.37,84.9,145.0,158.0,178.0,189.0,2000000
88123,healthy,168.34,169.0,20.39,16.02,82.74,143.0,157.0,180.0,192.0,2000000
88124,healthy,164.84,166.0,20.8,21.18,77.84,139.0,152.0,177.0,189.0,2000000
88125,healthy,165.63,166.0,19.38,18.3,80.84,142.0,154.0,176.0,188.0,2000000
88126,healthy,166.06,167.0,19.89,18.43,80.69,141.0,155.0,177.0,189.0,2000000
88127,healthy,165.29,166.0,20.25,19.73,79.39,140.0,153.0,177.0,189.0,2000000
88128,healthy,166.45,167.0,19.44,17.31,81.9,142.0,155.0,177.0,189.0,2000000
88129,healthy,166.3,167.0,19.73,17.58,81.49,142.0,155.0,177.0,189.0,2000000
88131,healthy,167.75,168.0,21.26,17.64,80.94,141.0,156.0,179.0,193.0,2000000
88132,healthy,168.76,169.0,19.45,14.32,84.62,145.0,158.0,179.0,192.0,2000000
88133,healthy,166.6,167.0,19.3,16.61,82.53,142.0,156.0,177.0,189.0,2000000
88134,healthy,169.47,169.0,21.23,15.74,82.62,143.0,157.0,181.0,195.0,2000000
88135,healthy,166.35,167.0,19.07,16.73,82.51,142.0,156.0,177.0,189.0,2000000
88136,healthy,165.56,166.0,19.62,18.27,80.94,141.0,155.0,176.0,188.0,2000000
88137,healthy,165.33,166.0,19.22,18.39,80.79,141.0,154.0,176.0,188.0,2000000
88138,healthy,166.72,167.0,20.19,17.82,81.02,142.0,155.0,178.0,191.0,2000000
88139,healthy,167.36,168.0,21.03,18.1,80.49,141.0,155.0,179.0,192.0,2000000
88140,healthy,165.94,167.0,18.84,17.54,81.75,142.0,155.0,176.0,188.0,2000000
88141,healthy,164.61,166.0,19.36,19.9,79.44,141.0,153.0,176.0,187.0,2000000
88142,healthy,167.08,167.0,19.12,16.17,82.97,143.0,156.0,178.0,190.0,2000000
88144,healthy,167.09,167.0,19.23,16.19,82.79,143.0,156.0,177.0,190.0,2000000
88145,healthy,168.06,168.0,20.58,16.47,82.19,142.0,156.0,179.0,193.0,2000000
88146,healthy,167.87,168.0,20.5,16.63,82.12,142.0,156.0,179.0,192.0,2000000
88147,healthy,164.86,165.0,19.31,18.93,80.29,141.0,153.0,176.0,187.0,2000000
88148,healthy,166.63,167.0,19.4,17.12,81.98,142.0,155.0,177.0,189.0,2000000
88149,healthy,166.7,167.0,20.99,18.8,79.9,141.0,154.0,178.0,192.0,2000000
88150,healthy,167.23,168.0,18.95,15.58,83.62,144.0,157.0,178.0,189.0,2000000
88151,healthy,168.04,168.0,20.74,16.85,81.91,142.0,156.0,180.0,192.0,2000000
88152,healthy,167.68,168.0,20.92,17.41,81.32,142.0,156.0,179.0,192.0,2000000
88153,healthy,168.14,168.0,20.39,15.86,82.85,143.0,157.0,179.0,192.0,2000000
88154,healthy,164.42,166.0,19.84,20.38,78.89,140.0,153.0,176.0,187.0,2000000
88156,healthy,164.76,166.0,19.2,19.17,80.18,141.0,154.0,176.0,187.0,2000000
88162,healthy,164.72,166.0,20.27,20.42,78.67,140.0,153.0,176.0,188.0,2000000
88163,healthy,164.38,166.0,20.37,20.9,78.23,139.0,153.0,176.0,188.0,2000000
88164,healthy,170.21,170.0,19.61,12.71,86.03,146.0,160.0,181.0,194.0,2000000
88166,healthy,163.1,165.0,19.4,21.86,77.53,139.0,152.0,174.0,185.0,2000000
88168,healthy,164.97,166.0,18.72,18.58,80.68,142.0,154.0,175.0,187.0,2000000
88169,healthy,166.5,167.0,19.57,17.65,81.48,142.0,155.0,177.0,190.0,2000000
88170,healthy,169.28,169.0,19.33,13.71,85.17,145.0,158.0,180.0,193.0,2000000
88171,healthy,169.65,170.0,20.32,14.55,84.1,144.0,158.0,181.0,194.0,2000000
88172,healthy,172.88,172.0,17.84,7.77,90.81,152.0,163.0,182.0,195.0,2000000
86229,lung_cancer,142.53,152.0,54.5,47.83,47.81,63.0,108.0,171.0,190.0,2000000
86230,lung_cancer,122.69,129.0,52.84,65.44,31.98,53.0,77.0,160.0,176.0,2000000
86233,lung_cancer,120.42,124.0,51.59,66.74,31.33,53.0,75.0,160.0,177.0,2000000
86245,lung_cancer,141.86,155.0,46.35,44.42,53.78,66.0,116.0,170.0,184.0,2000000
86251,lung_cancer,141.51,149.0,58.6,50.79,43.6,63.0,98.0,171.0,194.0,2000000
86254,lung_cancer,115.77,113.0,52.63,70.91,26.9,52.0,70.0,155.0,175.0,2000000
86264,lung_cancer,137.15,146.0,58.65,52.77,42.95,57.0,92.0,170.0,190.0,2000000
88183,lung_cancer,162.16,164.0,20.8,25.32,73.79,136.0,149.0,174.0,186.0,2000000
88184,lung_cancer,161.95,163.0,21.84,27.6,71.22,135.0,148.0,174.0,187.0,2000000
88185,lung_cancer,163.4,165.0,21.13,23.71,75.18,137.0,150.0,175.0,188.0,2000000
88186,lung_cancer,164.2,165.0,21.34,23.23,75.56,138.0,151.0,176.0,189.0,2000000
88187,lung_cancer,163.06,164.0,19.82,23.23,76.04,138.0,151.0,174.0,186.0,2000000
88188,lung_cancer,163.36,165.0,19.61,22.19,77.18,139.0,152.0,175.0,186.0,2000000
88189,lung_cancer,162.65,164.0,20.63,23.81,75.47,136.0,150.0,175.0,186.0,2000000
88190,lung_cancer,168.22,168.0,18.75,14.45,84.49,145.0,157.0,178.0,191.0,2000000
88191,lung_cancer,165.91,166.0,18.72,17.77,81.48,142.0,155.0,176.0,188.0,2000000
88193,lung_cancer,162.4,164.0,18.0,20.92,78.64,140.0,152.0,172.0,182.0,2000000
88194,lung_cancer,164.1,166.0,22.77,23.28,75.4,135.0,151.0,177.0,190.0,2000000
88195,lung_cancer,163.98,164.0,18.84,19.54,79.74,141.0,153.0,174.0,186.0,2000000
88196,lung_cancer,163.8,165.0,19.62,21.0,78.28,140.0,152.0,175.0,187.0,2000000
88197,lung_cancer,165.85,166.0,20.6,19.33,79.4,141.0,154.0,177.0,191.0,2000000
88198,lung_cancer,161.55,163.0,18.22,23.03,76.42,139.0,151.0,171.0,181.0,2000000
88199,lung_cancer,160.52,163.0,20.25,25.95,73.36,135.0,149.0,172.0,182.0,2000000
88200,lung_cancer,160.3,163.0,19.67,25.83,73.65,135.0,149.0,172.0,181.0,2000000
88201,lung_cancer,163.26,164.0,19.08,22.05,77.28,139.0,152.0,174.0,185.0,2000000
88202,lung_cancer,168.71,168.0,18.63,13.37,85.6,146.0,159.0,178.0,191.0,2000000
88203,lung_cancer,165.84,166.0,17.86,16.22,83.22,143.0,156.0,176.0,187.0,2000000
88204,lung_cancer,165.91,166.0,19.22,17.65,81.42,142.0,155.0,176.0,188.0,2000000
88205,lung_cancer,164.31,165.0,18.62,19.25,80.16,141.0,154.0,175.0,186.0,2000000
88206,lung_cancer,158.68,163.0,22.59,27.96,71.32,127.0,147.0,172.0,182.0,2000000
88207,lung_cancer,161.2,164.0,21.58,25.42,73.77,134.0,149.0,173.0,185.0,2000000
88208,lung_cancer,161.77,163.0,17.17,21.9,77.78,140.0,151.0,171.0,181.0,2000000
88209,lung_cancer,155.62,158.0,22.94,37.24,61.94,126.0,141.0,169.0,181.0,2000000
88210,lung_cancer,165.18,166.0,18.27,17.17,82.24,142.0,155.0,175.0,186.0,2000000
88211,lung_cancer,162.68,164.0,19.55,22.57,76.65,138.0,151.0,173.0,184.0,2000000
88212,lung_cancer,161.07,163.0,23.03,27.48,71.25,132.0,147.0,174.0,186.0,2000000
88213,lung_cancer,165.04,166.0,17.91,17.45,82.05,142.0,155.0,175.0,186.0,2000000
